mid,final,attandance,grade
80,117,10,A
74,120,10,A
80,114,10,A
73,120,10,A
73,120,10,A
73,120,10,A
73,120,10,A
75,117,10,A
80,111,10,A
75,115,10,A
70,120,10,A
73,117,10,A
73,117,10,A
75,114,10,A
75,114,10,A
75,112,10,A
80,107,10,A
70,117,10,A
66,120,10,A
75,120,0,A
73,112,10,A
73,112,10,A
73,112,10,A
70,114,10,A
79,105,10,A
70,114,10,A
75,117,0,A
75,117,0,A
77,114,0,A
73,106,10,A
59,120,10,A
73,105,10,A
73,105,10,A
75,102,10,A
60,117,10,A
73,103,10,A
70,105,10,B
73,100,10,B
66,107,10,B
80,93,10,B
68,105,10,B
70,102,10,B
70,102,10,B
69,112,0,B
66,105,10,B
66,105,10,B
66,105,10,B
73,98,10,B
73,107,0,B
65,105,10,B
63,107,10,B
73,97,10,B
80,90,10,B
65,105,10,B
65,105,10,B
66,112,0,B
59,109,10,B
51,117,10,B
72,95,10,B
68,99,10,B
80,100,-5,B
72,93,10,B
75,90,10,B
72,93,10,B
77,86,10,B
60,102,10,B
60,102,10,B
64,98,10,B
75,86,10,B
49,111,10,B
65,95,10,B
72,88,10,B
54,105,10,C
58,101,10,C
63,96,10,C
73,85,10,C
61,96,10,C
67,90,10,C
70,87,10,C
68,89,10,C
61,95,10,C
65,104,-5,C
63,90,10,C
77,90,-5,C
59,93,10,C
44,108,10,C
68,92,0,C
79,80,0,C
58,100,0,C
58,90,10,C
52,96,10,C
73,75,10,C
56,92,10,C
53,94,10,C
59,97,0,C
56,89,10,C
44,100,10,C
70,73,10,C
55,88,10,C
63,80,10,C
56,86,10,C
70,71,10,C
54,87,10,C
65,84,0,C
50,85,10,C
60,75,10,C
59,75,10,C
52,81,10,C
55,77,10,D
54,84,0,D
55,83,0,D
48,80,10,D
42,85,10,D
56,71,10,D
58,69,10,D
74,62,0,D
43,83,10,D
36,89,10,D
41,81,10,D
37,84,10,D
51,83,-5,D
39,80,10,D
46,76,0,D
50,71,-5,D
37,85,-10,D
44,58,10,D
52,45,10,D
31,80,-5,D
30,65,10,D
35,69,-5,D
39,57,-10,D
56,15,10,D
56,15,10,D
3,82,-10,D
26,38,10,D
76,,-10,D
51,0,10,D
46,15,-5,D
46,0,10,D
26,20,-5,D
26,,10,D
44,0,-10,D
32,0,0,D
,,10,F
,,10,F
,,10,F
13,,-5,F
